,Acetate,Fructose,Galactose,Glucose,Glycerol,Gluconate,Pyruvate,Succinate,Acetate_sd,Fructose_sd,Galactose_sd,Glucose_sd,Glycerol_sd,Gluconate_sd,Pyruvate_sd,Succinate_sd
growth_rate,0.29,0.49,0.18,0.65,0.49,0.59,0.39,0.51,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
uptake,13.58,8.33,1.97,9.65,10.14,7.28,26.71,15.90,0.33,0.29,0.10,0.04,0.15,0.03,0.79,0.31
ace_e,NaN,3.33,NaN,6.83,0.60,5.00,11.91,3.32 ,,0.33,,1.03,0.20,0.16,0.53,0.31
lac_e,NaN,NaN,NaN,NaN,NaN,NaN,1.16,NaN,,,,,,,0.07,
fum_e,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.14,,,,,,,,0.07
bio_yield,0.35,0.33,0.46,0.37,0.47,0.41,0.16,0.26,0.00,0.01,0.03,0.00,0.01,0,0.01,0.01
